Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score
15000,15000.0,0.1016,36,debt_consolidation,0.2675,IL,MORTGAGE,7666.67,"[675, 679]",16.0,71879.0,1.0,5 years,677
5600,5600.0,0.1409,36,debt_consolidation,0.2635,SC,RENT,3833.33,"[665, 669]",19.0,16163.0,0.0,5 years,667
20000,20000.0,0.1171,36,debt_consolidation,0.152,CA,RENT,4583.33,"[720, 724]",15.0,16575.0,2.0,5 years,722
25450,25450.0,0.1972,60,credit_card,0.3375,FL,OWN,4750.0,"[665, 669]",20.0,14435.0,1.0,10+ years,667
7000,7000.0,0.1112,36,debt_consolidation,0.0906,TX,RENT,6333.33,"[715, 719]",6.0,349.0,0.0,10+ years,717
10400,10400.0,0.1212,36,credit_card,0.1892,MA,RENT,3333.33,"[690, 694]",11.0,11964.0,0.0,10+ years,692
25000,24975.0,0.1484,36,credit_card,0.1588,NY,RENT,7250.0,"[705, 709]",6.0,10770.0,2.0,10+ years,707
20000,13000.0,0.1197,36,other,0.1896,KS,MORTGAGE,7501.0,"[705, 709]",17.0,17212.0,7.0,1 year,707
16000,15800.0,0.1743,60,credit_card,0.1307,FL,MORTGAGE,4583.33,"[675, 679]",7.0,5729.0,0.0,10+ years,677
15000,15000.0,0.079,36,major_purchase,0.2239,CA,MORTGAGE,7500.0,"[725, 729]",10.0,18756.0,0.0,10+ years,727
24625,24625.0,0.1972,60,debt_consolidation,0.2096,NY,RENT,5166.67,"[675, 679]",14.0,20694.0,0.0,8 years,677
21850,21850.0,0.1311,36,credit_card,0.2808,MN,RENT,4166.67,"[690, 694]",12.0,20497.0,0.0,< 1 year,692
6000,6000.0,0.1531,36,debt_consolidation,0.1568,NC,MORTGAGE,7500.0,"[670, 674]",10.0,5263.0,1.0,3 years,672
6700,6636.91,0.16,36,debt_consolidation,0.2153,GA,MORTGAGE,4700.0,"[725, 729]",11.0,9007.0,9.0,2 years,727
10000,9225.43,0.1221,36,moving,0.1045,MA,RENT,7667.0,"[700, 704]",9.0,17328.0,0.0,2 years,702
5775,5775.0,0.1531,36,debt_consolidation,0.0408,SC,RENT,5000.0,"[670, 674]",8.0,10088.0,2.0,10+ years,672
14475,14475.0,0.1527,36,credit_card,0.2369,NJ,RENT,4166.67,"[680, 684]",12.0,13294.0,1.0,3 years,682
8000,8000.0,0.1727,36,debt_consolidation,0.2788,IL,RENT,2833.33,"[670, 674]",10.0,9926.0,3.0,6 years,672
15000,15000.0,0.1212,36,debt_consolidation,0.1422,FL,MORTGAGE,5416.67,"[700, 704]",10.0,9237.0,0.0,< 1 year,702
10000,10000.0,0.1777,36,debt_consolidation,0.1241,PA,MORTGAGE,4166.67,"[680, 684]",6.0,31212.0,0.0,8 years,682
5600,5600.0,0.1349,36,debt_consolidation,0.1833,NY,RENT,2870.33,"[690, 694]",6.0,5033.0,2.0,5 years,692
10000,10000.0,0.1632,60,home_improvement,0.148,WV,RENT,2290.0,"[685, 689]",5.0,394.0,2.0,n/a,687
13000,13000.0,0.1409,36,debt_consolidation,0.3264,PA,MORTGAGE,5000.0,"[675, 679]",8.0,15208.0,0.0,10+ years,677
15000,10825.0,0.0999,60,debt_consolidation,0.1195,AZ,MORTGAGE,1958.33,"[745, 749]",8.0,3584.0,1.0,2 years,747
2100,2100.0,0.1212,36,credit_card,0.2577,MN,RENT,2555.16,"[680, 684]",8.0,21190.0,0.0,10+ years,682
12000,12000.0,0.1212,36,debt_consolidation,0.2048,NV,MORTGAGE,7666.67,"[685, 689]",10.0,5832.0,0.0,2 years,687
1000,1000.0,0.1316,36,other,0.1963,MI,RENT,3500.0,"[670, 674]",9.0,11189.0,2.0,2 years,672
16000,16000.0,0.1409,60,small_business,0.0778,PA,RENT,4166.67,"[735, 739]",6.0,4240.0,3.0,2 years,737
14000,14000.0,0.079,36,credit_card,0.2169,IL,RENT,3162.25,"[730, 734]",12.0,13579.0,0.0,9 years,732
14000,14000.0,0.1016,36,debt_consolidation,0.1344,CA,RENT,7916.67,"[690, 694]",16.0,19621.0,0.0,n/a,692
20000,3850.0,0.1221,36,debt_consolidation,0.1463,NY,RENT,6000.0,"[725, 729]",8.0,28585.0,0.0,10+ years,727
17000,15865.55,0.1114,36,debt_consolidation,0.0665,AZ,MORTGAGE,6333.33,"[760, 764]",7.0,6542.0,1.0,7 years,762
7350,7350.0,0.1074,60,debt_consolidation,0.2982,WA,MORTGAGE,5000.0,"[745, 749]",15.0,15093.0,1.0,4 years,747
10000,9500.0,0.1025,36,major_purchase,0.1293,NY,RENT,4841.67,"[775, 779]",4.0,0.0,1.0,4 years,777
20000,19796.41,0.1136,36,debt_consolidation,0.0834,PA,MORTGAGE,15416.67,"[710, 714]",10.0,46501.0,0.0,10+ years,712
7000,7000.0,0.0714,36,credit_card,0.0544,MN,MORTGAGE,3807.64,"[760, 764]",7.0,7196.0,0.0,5 years,762
6000,6000.0,0.1212,60,other,0.0931,CA,RENT,9583.33,"[715, 719]",12.0,27756.0,0.0,2 years,717
12000,12000.0,0.1,36,debt_consolidation,0.1232,WI,MORTGAGE,5000.0,"[715, 719]",6.0,4515.0,1.0,7 years,717
4225,4225.0,0.0603,36,small_business,0.1452,NY,MORTGAGE,2583.33,"[750, 754]",17.0,3907.0,0.0,4 years,752
14700,1973.77,0.1229,36,debt_consolidation,0.2194,CT,RENT,3100.0,"[700, 704]",14.0,14694.0,2.0,8 years,702
2500,2500.0,0.0676,36,debt_consolidation,0.0699,WI,MORTGAGE,4750.0,"[755, 759]",15.0,4658.0,2.0,4 years,757
4800,4775.0,0.1484,36,moving,0.0,CA,RENT,2500.0,"[670, 674]",4.0,0.0,0.0,2 years,672
6000,6000.0,0.1596,36,credit_card,0.221,MI,RENT,5583.33,"[665, 669]",9.0,36748.0,3.0,5 years,667
6000,6000.0,0.0603,36,credit_card,0.0565,AL,MORTGAGE,7083.33,"[750, 754]",15.0,5747.0,0.0,4 years,752
1800,1800.0,0.1531,36,other,0.0679,OK,MORTGAGE,6416.67,"[670, 674]",6.0,3394.0,2.0,7 years,672
7200,7200.0,0.158,36,debt_consolidation,0.2532,FL,MORTGAGE,3333.33,"[675, 679]",13.0,8903.0,1.0,6 years,677
6000,6000.0,0.1212,36,home_improvement,0.2389,TX,MORTGAGE,8000.0,"[680, 684]",8.0,16139.0,0.0,2 years,682
15300,14850.0,0.1114,36,debt_consolidation,0.1131,OH,MORTGAGE,6833.33,"[670, 674]",11.0,7106.0,2.0,10+ years,672
5000,5000.0,0.0932,36,home_improvement,0.0389,MN,MORTGAGE,2083.33,"[775, 779]",4.0,3901.0,2.0,4 years,777
10500,10500.0,0.1777,36,credit_card,0.1233,PA,MORTGAGE,4583.33,"[665, 669]",9.0,18936.0,1.0,5 years,667
6625,6625.0,0.1777,36,debt_consolidation,0.1168,CA,RENT,10268.25,"[660, 664]",9.0,3563.0,0.0,2 years,662
16000,16000.0,0.2247,60,credit_card,0.1127,CA,RENT,4791.67,"[665, 669]",5.0,8474.0,0.0,2 years,667
22000,22000.0,0.1629,60,debt_consolidation,0.2633,WI,RENT,4166.67,"[675, 679]",10.0,25245.0,0.0,5 years,677
5000,5000.0,0.1521,60,house,0.1038,CA,RENT,6833.33,"[680, 684]",11.0,5045.0,1.0,8 years,682
20000,20000.0,0.089,36,credit_card,0.1079,IL,RENT,12083.33,"[680, 684]",8.0,25672.0,0.0,1 year,682
1500,1500.0,0.1306,36,major_purchase,0.2082,TX,MORTGAGE,7083.33,"[670, 674]",8.0,4665.0,1.0,6 years,672
8000,8000.0,0.0749,36,car,0.0286,CT,MORTGAGE,5666.67,"[730, 734]",7.0,5964.0,0.0,10+ years,732
18225,18225.0,0.1629,60,debt_consolidation,0.3219,AL,MORTGAGE,7166.67,"[705, 709]",19.0,29219.0,2.0,4 years,707
5000,5000.0,0.0762,36,debt_consolidation,0.0843,OH,MORTGAGE,2916.67,"[740, 744]",6.0,12444.0,1.0,10+ years,742
10000,10000.0,0.1399,36,debt_consolidation,0.1073,NC,RENT,2629.0,"[685, 689]",5.0,10029.0,0.0,n/a,687
8000,8000.0,0.1777,36,small_business,0.2856,MN,RENT,2083.33,"[670, 674]",4.0,9059.0,0.0,6 years,672
6000,6000.0,0.1075,36,debt_consolidation,0.1205,NJ,RENT,6000.0,"[720, 724]",14.0,25090.0,4.0,10+ years,722
24250,24225.0,0.1862,60,debt_consolidation,0.2274,RI,RENT,5000.0,"[685, 689]",13.0,14392.0,1.0,2 years,687
8700,8700.0,0.1269,36,home_improvement,0.0502,NY,RENT,14166.67,"[675, 679]",11.0,19036.0,0.0,< 1 year,677
20400,20375.0,0.1465,60,debt_consolidation,0.1038,VA,RENT,6733.33,"[725, 729]",8.0,11149.0,2.0,6 years,727
9000,9000.0,0.0662,36,other,0.1614,MT,RENT,3333.33,"[740, 744]",10.0,8689.0,0.0,6 years,742
16100,16100.0,0.1114,36,debt_consolidation,0.2536,MO,MORTGAGE,6250.0,"[715, 719]",14.0,9737.0,0.0,10+ years,717
35000,35000.0,0.21,36,debt_consolidation,0.1105,LA,MORTGAGE,7702.0,"[670, 674]",8.0,11346.0,0.0,10+ years,672
4600,4600.0,0.0766,36,debt_consolidation,0.0914,MO,MORTGAGE,6500.0,"[700, 704]",9.0,12942.0,0.0,7 years,702
14400,5325.0,0.1418,36,credit_card,0.2304,MO,MORTGAGE,4583.33,"[685, 689]",13.0,17568.0,4.0,10+ years,687
5000,5000.0,0.1114,36,other,0.1361,NY,RENT,3333.33,"[685, 689]",10.0,8436.0,0.0,n/a,687
5500,5500.0,0.1905,36,home_improvement,0.0233,GA,OWN,7500.0,"[660, 664]",3.0,2530.0,1.0,7 years,662
25000,15800.0,0.1398,60,debt_consolidation,0.2023,PA,MORTGAGE,5416.67,"[720, 724]",13.0,21168.0,2.0,10+ years,722
5000,5000.0,0.1409,36,debt_consolidation,0.1118,AZ,RENT,10625.0,"[670, 674]",8.0,8054.0,0.0,1 year,672
10000,10000.0,0.1465,36,debt_consolidation,0.1204,CA,RENT,2791.67,"[710, 714]",6.0,12139.0,1.0,3 years,712
20000,13975.0,0.1189,36,home_improvement,0.0289,AL,MORTGAGE,5050.0,"[740, 744]",6.0,6863.0,4.0,10+ years,742
10000,10000.0,0.1714,36,debt_consolidation,0.0959,MA,RENT,1658.0,"[680, 684]",3.0,4902.0,0.0,< 1 year,682
17000,17000.0,0.0976,36,debt_consolidation,0.236,NJ,RENT,5416.67,"[740, 744]",16.0,5992.0,4.0,10+ years,742
25000,25000.0,0.2247,60,credit_card,0.2362,TX,MORTGAGE,5000.0,"[665, 669]",16.0,25348.0,1.0,3 years,667
5000,5000.0,0.079,36,debt_consolidation,0.0728,NY,RENT,8666.67,"[710, 714]",9.0,4572.0,0.0,1 year,712
6000,6000.0,0.1311,36,credit_card,0.2134,RI,MORTGAGE,5416.67,"[685, 689]",19.0,15107.0,2.0,10+ years,687
8000,8000.0,0.1727,36,credit_card,0.0732,NY,RENT,5833.33,"[670, 674]",8.0,5350.0,2.0,4 years,672
12000,12000.0,0.1409,36,wedding,0.1533,CA,RENT,8666.67,"[695, 699]",10.0,9624.0,1.0,1 year,697
3000,3000.0,0.0894,36,other,0.1342,NY,RENT,4500.0,"[720, 724]",9.0,2541.0,2.0,< 1 year,722
5000,5000.0,0.0617,60,major_purchase,0.1152,NY,RENT,1667.0,"[770, 774]",6.0,1108.0,0.0,3 years,772
3200,3200.0,0.1016,36,debt_consolidation,0.1617,CA,MORTGAGE,3750.0,"[705, 709]",9.0,4283.0,1.0,6 years,707
7625,7625.0,0.1849,36,credit_card,0.1579,NC,RENT,3166.67,"[670, 674]",4.0,8030.0,0.0,5 years,672
3000,3000.0,0.2211,60,other,0.0,MN,OWN,1471.0,"[690, 694]",3.0,0.0,0.0,6 years,692
5000,5000.0,0.1149,36,home_improvement,0.0662,NC,MORTGAGE,3125.0,"[730, 734]",4.0,7187.0,1.0,1 year,732
18500,18500.0,0.1299,36,debt_consolidation,0.0796,NY,RENT,5000.0,"[685, 689]",6.0,13490.0,0.0,10+ years,687
18000,18000.0,0.1409,36,debt_consolidation,0.1545,OR,MORTGAGE,4000.0,"[690, 694]",11.0,13877.0,0.0,5 years,692
4200,4200.0,0.1059,36,car,0.1153,GA,RENT,3000.0,"[695, 699]",11.0,10067.0,0.0,7 years,697
5000,4975.0,0.0729,36,vacation,0.0233,GA,MORTGAGE,5416.67,"[725, 729]",8.0,2937.0,1.0,10+ years,727
19000,19000.0,0.1171,60,credit_card,0.1379,NJ,MORTGAGE,4791.67,"[730, 734]",9.0,16348.0,0.0,5 years,732
15000,15000.0,0.1677,36,debt_consolidation,0.0729,MD,RENT,7916.67,"[675, 679]",5.0,5355.0,1.0,6 years,677
18625,18625.0,0.1972,60,credit_card,0.2298,AL,RENT,4000.0,"[680, 684]",15.0,26050.0,2.0,9 years,682
6075,6075.0,0.0762,36,debt_consolidation,0.2825,OR,RENT,1083.33,"[720, 724]",8.0,11539.0,0.0,n/a,722
12500,12500.0,0.1531,36,debt_consolidation,0.1767,TX,MORTGAGE,3916.67,"[690, 694]",7.0,8221.0,3.0,10+ years,692
5000,5000.0,0.1531,36,debt_consolidation,0.0491,CA,RENT,7083.33,"[665, 669]",12.0,8225.0,1.0,5 years,667
10000,10000.0,0.1212,36,credit_card,0.2306,MA,RENT,3083.33,"[690, 694]",14.0,13638.0,0.0,3 years,692
8000,8000.0,0.1677,36,credit_card,0.2099,TX,RENT,3750.0,"[660, 664]",6.0,4010.0,0.0,5 years,662
20000,19975.0,0.1581,36,debt_consolidation,0.2142,CO,RENT,5000.0,"[680, 684]",12.0,24352.0,1.0,< 1 year,682
9600,9600.0,0.1349,36,credit_card,0.1504,PA,RENT,4250.0,"[685, 689]",17.0,7713.0,1.0,1 year,687
3600,3600.0,0.0976,36,credit_card,0.1134,MI,RENT,2108.33,"[695, 699]",14.0,4467.0,0.0,n/a,697
14075,14075.0,0.1875,36,other,0.1296,NY,RENT,3033.33,"[690, 694]",6.0,13036.0,0.0,8 years,692
3000,3000.0,0.0751,36,major_purchase,0.1131,CT,RENT,3500.0,"[735, 739]",9.0,0.0,2.0,3 years,737
35000,34975.0,0.1016,36,debt_consolidation,0.2556,NY,RENT,9220.0,"[760, 764]",12.0,40782.0,1.0,10+ years,762
1700,1700.0,0.0699,36,car,0.052,VA,RENT,2250.0,"[750, 754]",4.0,4527.0,0.0,5 years,752
8800,8800.0,0.0751,36,other,0.2073,PA,MORTGAGE,4833.0,"[790, 794]",6.0,306.0,4.0,5 years,792
24250,23985.41,0.1218,36,debt_consolidation,0.1765,CA,MORTGAGE,8910.42,"[740, 744]",16.0,81940.0,0.0,10+ years,742
10750,10166.42,0.1114,36,credit_card,0.1191,MA,MORTGAGE,4416.67,"[720, 724]",9.0,12619.0,1.0,2 years,722
6000,6000.0,0.1596,36,debt_consolidation,0.2485,CA,MORTGAGE,3264.0,"[660, 664]",13.0,6347.0,1.0,10+ years,662
15000,15000.0,0.1016,36,credit_card,0.1857,CA,MORTGAGE,5000.0,"[700, 704]",13.0,33389.0,0.0,10+ years,702
15000,15000.0,0.1433,36,credit_card,0.1638,MD,MORTGAGE,5500.0,"[700, 704]",10.0,12413.0,2.0,3 years,702
10000,10000.0,0.1311,36,credit_card,0.1412,CA,RENT,7500.0,"[680, 684]",12.0,3235.0,0.0,6 years,682
5950,5950.0,0.1212,36,credit_card,0.2154,FL,MORTGAGE,5000.0,"[690, 694]",9.0,47746.0,0.0,10+ years,692
10000,10000.0,0.1099,36,debt_consolidation,0.0823,NY,OWN,5833.33,"[700, 704]",15.0,11620.0,0.0,< 1 year,702
4000,4000.0,0.1523,36,other,0.1073,MA,RENT,2916.67,"[670, 674]",6.0,1651.0,1.0,6 years,672
15000,14675.0,0.0788,36,home_improvement,0.0053,VA,MORTGAGE,10417.0,"[780, 784]",8.0,1343.0,1.0,< 1 year,782
10000,9850.0,0.1531,36,debt_consolidation,0.186,NY,RENT,2500.0,"[665, 669]",8.0,9092.0,1.0,< 1 year,667
8875,8875.0,0.1311,36,other,0.3046,TX,OWN,2166.67,"[700, 704]",9.0,6797.0,1.0,2 years,702
2400,2400.0,0.1074,36,credit_card,0.112,NY,RENT,2000.0,"[705, 709]",4.0,3055.0,0.0,10+ years,707
25000,24950.0,0.2053,60,debt_consolidation,0.185,NJ,RENT,8000.0,"[675, 679]",9.0,19548.0,0.0,3 years,677
5500,5500.0,0.1607,36,other,0.1935,FL,MORTGAGE,3937.08,"[685, 689]",6.0,689.0,8.0,10+ years,687
6000,6000.0,0.1253,36,credit_card,0.2307,PA,RENT,2916.67,"[685, 689]",11.0,3334.0,0.0,2 years,687
18000,18000.0,0.1905,60,debt_consolidation,0.0628,MD,MORTGAGE,7500.0,"[690, 694]",8.0,20675.0,1.0,10+ years,692
28000,27975.0,0.079,36,small_business,0.0581,WA,MORTGAGE,7000.0,"[800, 804]",8.0,771.0,2.0,9 years,802
32000,32000.0,0.1629,60,debt_consolidation,0.1514,AZ,RENT,7055.0,"[725, 729]",8.0,16174.0,1.0,6 years,727
6000,6000.0,0.1311,36,credit_card,0.0453,NY,RENT,2625.0,"[690, 694]",5.0,4299.0,1.0,10+ years,692
7200,7200.0,0.089,60,debt_consolidation,0.2516,LA,MORTGAGE,3750.0,"[750, 754]",13.0,7283.0,0.0,6 years,752
11500,11500.0,0.1114,36,debt_consolidation,0.1047,AL,RENT,2916.67,"[700, 704]",6.0,9562.0,0.0,< 1 year,702
4800,4800.0,0.0542,36,major_purchase,0.1023,FL,MORTGAGE,6333.33,"[790, 794]",13.0,10704.0,0.0,10+ years,792
4000,4000.0,0.1065,36,debt_consolidation,0.234,NC,MORTGAGE,2333.33,"[685, 689]",21.0,3522.0,0.0,7 years,687
15000,15000.0,0.1065,36,other,0.1436,CA,RENT,9083.33,"[720, 724]",11.0,26902.0,0.0,3 years,722
15000,15000.0,0.1799,36,debt_consolidation,0.2104,TX,MORTGAGE,5319.17,"[675, 679]",13.0,5613.0,3.0,2 years,677
25000,25000.0,0.1242,36,debt_consolidation,0.0105,CA,MORTGAGE,16666.67,"[705, 709]",7.0,2839.0,0.0,10+ years,707
4800,4800.0,0.1875,60,other,0.2769,TX,RENT,1560.0,"[680, 684]",9.0,6563.0,0.0,< 1 year,682
9500,9500.0,0.0662,36,debt_consolidation,0.1928,GA,MORTGAGE,3583.33,"[735, 739]",8.0,5240.0,0.0,10+ years,737
15000,6200.0,0.1253,36,home_improvement,0.1378,MO,MORTGAGE,8750.0,"[705, 709]",8.0,21702.0,3.0,1 year,707
6000,6000.0,0.1398,36,debt_consolidation,0.0773,CO,RENT,6250.0,"[675, 679]",6.0,3507.0,0.0,4 years,677
12300,12300.0,0.0603,36,debt_consolidation,0.0715,VA,RENT,6666.67,"[740, 744]",10.0,10976.0,0.0,10+ years,742
24000,23950.0,0.0751,36,other,0.1795,PA,OWN,4250.0,"[755, 759]",6.0,19509.0,0.0,2 years,757
2000,1975.0,0.1112,36,other,0.205,NY,MORTGAGE,6833.33,"[705, 709]",19.0,20653.0,5.0,5 years,707
14000,14000.0,0.0976,36,debt_consolidation,0.2255,NJ,MORTGAGE,8750.0,"[710, 714]",8.0,25026.0,0.0,10+ years,712
10000,10000.0,0.1212,36,debt_consolidation,0.0595,NJ,OWN,5000.0,"[700, 704]",5.0,10752.0,0.0,4 years,702
13000,8113.74,0.0963,36,small_business,0.1614,TX,MORTGAGE,3500.0,"[785, 789]",6.0,0.0,1.0,1 year,787
5000,5000.0,0.1629,60,other,0.118,VA,RENT,5416.67,"[690, 694]",7.0,8745.0,1.0,4 years,692
6000,5994.0,0.1242,36,credit_card,0.1168,VA,RENT,2500.0,"[670, 674]",6.0,9482.0,0.0,2 years,672
10050,10050.0,0.1433,36,debt_consolidation,0.0607,CA,RENT,2916.67,"[710, 714]",9.0,7413.0,1.0,6 years,712
4800,4800.0,0.079,36,debt_consolidation,0.1907,OH,RENT,1500.0,"[720, 724]",12.0,6813.0,3.0,< 1 year,722
14400,14400.0,0.1074,36,debt_consolidation,0.059,CA,MORTGAGE,6833.33,"[700, 704]",15.0,10017.0,0.0,10+ years,702
11625,11625.0,0.1531,36,debt_consolidation,0.1673,CA,RENT,2833.33,"[695, 699]",8.0,17469.0,0.0,10+ years,697
18200,18200.0,0.1016,36,credit_card,0.0795,NY,RENT,4750.0,"[720, 724]",13.0,16184.0,2.0,3 years,722
20000,19875.0,0.1335,36,debt_consolidation,0.1568,TX,MORTGAGE,9160.0,"[710, 714]",9.0,32392.0,1.0,10+ years,712
9600,9575.0,0.1727,60,credit_card,0.129,NY,RENT,3333.33,"[695, 699]",7.0,13648.0,1.0,10+ years,697
9000,9000.0,0.1183,36,car,0.0048,MD,RENT,4833.0,"[715, 719]",6.0,0.0,1.0,4 years,717
35000,35000.0,0.1825,60,debt_consolidation,0.2769,MD,RENT,8083.33,"[725, 729]",15.0,29300.0,0.0,10+ years,727
1900,1900.0,0.0751,36,debt_consolidation,0.1927,PA,MORTGAGE,6000.0,"[735, 739]",12.0,18397.0,2.0,10+ years,737
20000,19896.51,0.1367,36,debt_consolidation,0.1534,FL,RENT,5166.67,"[710, 714]",8.0,12394.0,1.0,6 years,712
2400,2400.0,0.1037,36,wedding,0.0954,MN,MORTGAGE,3166.67,"[675, 679]",6.0,2174.0,0.0,1 year,677
4500,4500.0,0.1171,36,debt_consolidation,0.1587,CA,MORTGAGE,3333.33,"[675, 679]",15.0,11963.0,0.0,6 years,677
12000,12000.0,0.1212,36,debt_consolidation,0.1941,TX,MORTGAGE,8750.0,"[710, 714]",10.0,32028.0,1.0,4 years,712
10000,8175.26,0.0863,36,debt_consolidation,0.0591,GA,MORTGAGE,7500.0,"[730, 734]",16.0,18343.0,0.0,7 years,732
11575,11575.0,0.079,36,debt_consolidation,0.1747,TX,MORTGAGE,2833.33,"[730, 734]",8.0,5654.0,0.0,10+ years,732
20000,20000.0,0.0662,36,credit_card,0.2161,DC,MORTGAGE,8161.33,"[720, 724]",14.0,27904.0,1.0,8 years,722
6000,3475.0,0.147,36,debt_consolidation,0.1023,MD,RENT,6500.0,"[640, 644]",6.0,4103.0,0.0,1 year,642
2800,2800.0,0.1,36,debt_consolidation,0.2032,CA,RENT,3250.0,"[700, 704]",4.0,8717.0,0.0,5 years,702
6000,6000.0,0.1409,36,credit_card,0.0993,CA,RENT,4250.0,"[680, 684]",6.0,5815.0,1.0,3 years,682
20000,14750.0,0.0691,36,debt_consolidation,0.1516,CO,RENT,9208.0,"[735, 739]",10.0,20965.0,0.0,3 years,737
22000,22000.0,0.1399,60,debt_consolidation,0.1828,MI,MORTGAGE,6083.33,"[720, 724]",9.0,20181.0,0.0,8 years,722
10000,10000.0,0.1311,36,debt_consolidation,0.2034,MI,RENT,5416.67,"[675, 679]",9.0,8066.0,0.0,10+ years,677
9450,9450.0,0.1212,36,credit_card,0.1174,IL,MORTGAGE,4666.67,"[690, 694]",13.0,17639.0,2.0,10+ years,692
10400,10325.0,0.0766,36,debt_consolidation,0.1302,CA,MORTGAGE,6354.0,"[725, 729]",10.0,19656.0,3.0,10+ years,727
15875,15818.07,0.1528,60,debt_consolidation,0.221,CA,RENT,3000.0,"[720, 724]",5.0,14289.0,2.0,2 years,722
18000,18000.0,0.1212,60,other,0.1489,VA,MORTGAGE,8333.33,"[730, 734]",7.0,4038.0,0.0,5 years,732
8000,8000.0,0.089,36,other,0.0293,NY,RENT,5000.0,"[710, 714]",8.0,5540.0,0.0,2 years,712
12000,12000.0,0.1433,36,moving,0.2006,NY,RENT,4166.67,"[760, 764]",8.0,14163.0,0.0,2 years,762
20000,12150.0,0.0654,60,debt_consolidation,0.1236,NY,OWN,5000.0,"[795, 799]",9.0,7960.0,2.0,10+ years,797
10000,10000.0,0.1677,36,debt_consolidation,0.1855,CA,RENT,2916.67,"[660, 664]",9.0,7565.0,3.0,4 years,662
24500,23475.0,0.1903,60,debt_consolidation,0.2302,MD,RENT,4497.0,"[680, 684]",13.0,18906.0,0.0,10+ years,682
10000,10000.0,0.1212,36,debt_consolidation,0.1958,CA,RENT,6250.0,"[695, 699]",17.0,16348.0,0.0,5 years,697
3600,3600.0,0.079,36,credit_card,0.2621,OH,MORTGAGE,4166.67,"[735, 739]",19.0,25.0,2.0,3 years,737
12000,12000.0,0.1749,60,debt_consolidation,0.0694,OR,MORTGAGE,5445.0,"[670, 674]",8.0,4904.0,0.0,9 years,672
6950,6950.0,0.1074,36,credit_card,0.2071,IL,OWN,4583.33,"[685, 689]",7.0,18814.0,0.0,10+ years,687
8525,8525.0,0.1016,36,debt_consolidation,0.2614,MT,MORTGAGE,4583.33,"[705, 709]",8.0,31398.0,0.0,10+ years,707
5000,5000.0,0.1433,36,credit_card,0.2851,CO,RENT,2750.0,"[690, 694]",14.0,5957.0,2.0,3 years,692
4800,4800.0,0.1825,60,debt_consolidation,0.1381,OR,RENT,3750.0,"[695, 699]",13.0,16302.0,0.0,10+ years,697
6000,6000.0,0.1335,36,debt_consolidation,0.2136,NV,MORTGAGE,5000.0,"[665, 669]",11.0,4363.0,3.0,10+ years,667
4000,4000.0,0.1922,60,small_business,0.0903,VA,RENT,3700.0,"[680, 684]",19.0,2177.0,2.0,2 years,682
14000,14000.0,0.0603,36,debt_consolidation,0.1467,CA,RENT,7500.0,"[745, 749]",12.0,16648.0,0.0,10+ years,747
23500,23450.0,0.1465,36,debt_consolidation,0.1948,CA,RENT,4000.0,"[685, 689]",7.0,20542.0,0.0,n/a,687
2500,2500.0,0.1595,36,major_purchase,0.2407,CA,MORTGAGE,1500.0,"[665, 669]",10.0,2684.0,3.0,1 year,667
2000,2000.0,0.0617,36,major_purchase,0.0263,CA,RENT,1600.0,"[745, 749]",9.0,736.0,0.0,3 years,747
24000,23925.0,0.1629,60,credit_card,0.1177,NJ,MORTGAGE,7800.0,"[675, 679]",11.0,20676.0,3.0,2 years,677
12800,12800.0,0.1149,60,debt_consolidation,0.0672,CT,MORTGAGE,4166.67,"[725, 729]",7.0,11992.0,1.0,1 year,727
8000,8000.0,0.079,36,wedding,0.2158,CA,RENT,5166.67,"[725, 729]",5.0,0.0,0.0,1 year,727
3000,3000.0,0.0999,36,credit_card,0.213,MO,OWN,2333.33,"[710, 714]",10.0,3168.0,1.0,1 year,712
7000,7000.0,0.079,36,credit_card,0.0141,FL,RENT,12500.0,"[725, 729]",4.0,5093.0,0.0,7 years,727
18000,17975.0,0.1348,36,credit_card,0.0624,IL,MORTGAGE,8333.33,"[690, 694]",13.0,14838.0,0.0,10+ years,692
9000,5975.0,0.1411,36,debt_consolidation,0.0821,CA,MORTGAGE,4167.0,"[670, 674]",7.0,19696.0,1.0,3 years,672
11000,11000.0,0.1099,36,debt_consolidation,0.0426,SC,MORTGAGE,6666.67,"[695, 699]",11.0,4124.0,0.0,4 years,697
6000,6000.0,0.079,36,major_purchase,0.1499,IL,RENT,4416.67,"[720, 724]",10.0,2928.0,0.0,2 years,722
6500,6475.0,0.0774,36,debt_consolidation,0.18,NH,RENT,1500.0,"[785, 789]",5.0,2816.0,0.0,2 years,787
19500,19500.0,0.1849,36,credit_card,0.0979,MD,RENT,10000.0,"[675, 679]",16.0,14957.0,1.0,2 years,677
16000,16000.0,0.1727,60,major_purchase,0.1926,MD,RENT,7000.0,"[695, 699]",7.0,5231.0,1.0,10+ years,697
18000,17950.0,0.1433,60,debt_consolidation,0.1398,KS,MORTGAGE,12916.67,"[685, 689]",11.0,14890.0,2.0,10+ years,687
